iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
387	245	273	245	340	245	340	273
388	245	273	245	340	245	340	273
389	245	273	245	340	245	340	273
390	245	273	245	340	245	340	273
391	245	273	245	340	245	340	273
392	245	273	245	340	245	340	273
393	245	273	245	340	245	340	273
394	245	273	245	340	245	340	273
395	245	273	245	340	245	340	273
396	245	273	245	340	245	340	273
397	245	273	245	340	245	340	273
398	245	273	245	340	245	340	273
399	245	273	245	340	245	340	273
400	245	273	245	340	245	340	273
401	245	273	245	340	245	340	273
402	247	275	247	340	247	340	275
403	247	275	247	340	247	340	275
404	247	275	247	340	247	340	275
405	247	275	247	340	247	340	275
406	247	275	247	340	247	340	275
407	247	275	247	340	247	340	275
408	247	275	247	340	247	340	275
409	247	275	247	340	247	340	275
410	247	275	247	340	247	340	275
411	249	277	249	340	249	340	277
412	249	278	249	340	249	340	278
413	249	278	249	340	249	340	278
414	249	278	249	340	249	340	278
415	249	278	249	340	249	340	278
416	249	277	249	340	249	340	277
417	249	277	249	340	249	340	277
418	249	277	249	340	249	340	277
419	249	277	249	340	249	340	277
420	249	277	249	340	249	340	277
421	250	278	250	340	250	340	278
422	250	278	250	340	250	340	278
423	250	278	250	340	250	340	278
424	250	278	250	340	250	340	278
425	251	279	251	340	251	340	279
426	251	279	251	340	251	340	279
427	251	279	251	340	251	340	279
428	251	279	251	340	251	340	279
429	251	279	251	340	251	340	279
430	252	280	252	340	252	340	280
431	252	280	252	340	252	340	280
432	252	280	252	340	252	340	280
433	252	280	252	340	252	340	280
434	252	280	252	340	252	340	280
435	252	280	252	340	252	340	280
436	252	280	252	340	252	340	280
437	252	280	252	340	252	340	280
438	252	280	252	340	252	340	280
439	252	280	252	340	252	340	280
440	252	280	252	340	252	340	280
441	252	280	252	340	252	340	280
442	252	280	252	340	252	340	280
443	252	280	252	340	252	340	280
444	253	281	253	340	253	340	281
445	253	281	253	340	253	340	281
446	254	282	254	340	254	340	282
447	254	282	254	340	254	340	282
448	254	282	254	340	254	340	282
449	254	282	254	340	254	340	282
450	254	282	254	340	254	340	282
